城市,维度,项目名称,小红书链接,点赞数,作者,推荐理由
芽庄,住宿推荐,二刷芽庄｜JW万豪/阿南/威斯汀酒店怎么选,https://www.xiaohongshu.com/explore/68e7b4ac00000000040026f9,272,Astrobarm🍍2025-10-09,小红书272人点赞
芽庄,住宿推荐,冲着这个大草坪去的🇻🇳芽庄,https://www.xiaohongshu.com/explore/69484773000000000d03998f,201,一言不合就出发2025-12-22,小红书201人点赞
芽庄,住宿推荐,芽庄旅游全攻略1️⃣｜酒店篇,https://www.xiaohongshu.com/explore/68e5f80f000000000303bdd9,31,#002FA72025-10-08,小红书31人点赞
芽庄,住宿推荐,人生酒店 | 越南芽庄阿南The Anan,https://www.xiaohongshu.com/explore/68258e460000000023011f3b,799,半糖奶糕2025-05-15,小红书799人点赞
芽庄,住宿推荐,芽庄JW Marriott首住体验！,https://www.xiaohongshu.com/explore/68e26f72000000000500054b,1889,Astrobarm🍍2025-10-05,小红书1889人点赞
芽庄,住宿推荐,芽庄度假,https://www.xiaohongshu.com/explore/695bbe570000000021029a59,5961,zoo officials2天前,小红书5961人点赞
芽庄,住宿推荐,芽庄阿南酒店的草坪美到失语,https://www.xiaohongshu.com/explore/68e0d26e0000000004023dad,88,王太宇2025-10-04,小红书88人点赞
芽庄,住宿推荐,芽庄新开的这家amiana酒店也太绝了！,https://www.xiaohongshu.com/explore/68df2d950000000004002f93,374,时小间10242025-10-07,小红书374人点赞
芽庄,住宿推荐,The Anam 芽庄阿南十分钟惬意出法式氛围片,https://www.xiaohongshu.com/explore/68e25a94000000000402a69a,15,Helene5272025-10-07,小红书15人点赞
芽庄,住宿推荐,避世之旅 标准的好酒店Amanoi｜芽庄,https://www.xiaohongshu.com/explore/68348592000000000f0339bc,1870,陆羽茶室2025-05-26,小红书1870人点赞
芽庄,美食餐厅,芽庄美食推荐！亲测无广,https://www.xiaohongshu.com/explore/687e459a000000002203fcbd,465,微微2025-09-27,小红书465人点赞
芽庄,美食餐厅,在芽庄的伙伴都给我去吃这家烧烤！,https://www.xiaohongshu.com/explore/68dfd9b400000000070347c5,182,Lynnの玩偶世界2025-10-03,小红书182人点赞
芽庄,美食餐厅,在芽庄吃到坠nb的几顿。。。。。,https://www.xiaohongshu.com/explore/688338ca0000000013012bc7,359,陈一碗饭2025-07-25,小红书359人点赞
芽庄,美食餐厅,芽庄非常安利的一家海鲜店,https://www.xiaohongshu.com/explore/687cb067000000001c0339ce,79,Cleo在路上2025-07-20,小红书79人点赞
芽庄,美食餐厅,芽庄这碗粉还是太权威了,https://www.xiaohongshu.com/explore/68e214350000000005033ae4,1286,Gary2025-10-05,小红书1286人点赞
芽庄,美食餐厅,芽庄宝藏度假村🏝️，文字攻略来啦！吃喝住玩,https://www.xiaohongshu.com/explore/689c33ce000000001c032191,201,五月伊娃2025-08-13,小红书201人点赞
芽庄,美食餐厅,🇻🇳芽庄 |逛吃逛吃的三天,https://www.xiaohongshu.com/explore/694d0ccc000000001e017034,90,蜜桃住海里2025-12-25,小红书90人点赞
芽庄,美食餐厅,芽庄🏝️这五天吃下来💯的本地菜 巨好吃,https://www.xiaohongshu.com/explore/68e35da9000000000301fcea,72,美乃滋2025-10-06,小红书72人点赞
芽庄,美食餐厅,芽庄｜躺平在低物价海岛🏝️,https://www.xiaohongshu.com/explore/6695da0f0000000003027f84,825,麋麋鹿2024-07-16,小红书825人点赞
芽庄,美食餐厅,旅行就是放纵日 在芽庄三天都吃什么,https://www.xiaohongshu.com/explore/6721a9b6000000001d03a279,431,翔宇Shawn2024-10-30,小红书431人点赞
芽庄,景点打卡,📍越南｜芽庄的老火车也很好拍呀,https://www.xiaohongshu.com/explore/68e284c100000000040283a9,39,Novem2025-10-05,小红书39人点赞
芽庄,景点打卡,越南芽庄色彩哲学｜教会我如何优雅地老去,https://www.xiaohongshu.com/explore/691376f1000000000300dfdf,90,IRONZ2025-11-12,小红书90人点赞
芽庄,景点打卡,芽庄宝藏度假村🏝️，文字攻略来啦！吃喝住玩,https://www.xiaohongshu.com/explore/689c33ce000000001c032191,201,五月伊娃2025-08-13,小红书201人点赞
芽庄,景点打卡,The Anam 芽庄阿南十分钟惬意出法式氛围片,https://www.xiaohongshu.com/explore/68e25a94000000000402a69a,15,Helene5272025-10-07,小红书15人点赞
芽庄,景点打卡,冲着这个大草坪去的🇻🇳芽庄,https://www.xiaohongshu.com/explore/69484773000000000d03998f,201,一言不合就出发2025-12-22,小红书201人点赞
芽庄,景点打卡,🇻🇳越南芽庄！后悔没早点去！——旅游攻略,https://www.xiaohongshu.com/explore/68f893070000000007003e45,385,Lotso2025-10-22,小红书385人点赞
芽庄,景点打卡,越南｜芽庄市区citywalk路线，各大景点速评,https://www.xiaohongshu.com/explore/68dd4a20000000000700131d,83,跺岚的遛娃日记2025-10-09,小红书83人点赞
芽庄,景点打卡,🤿芽庄旅行攻略｜这张地图赶紧码住！,https://www.xiaohongshu.com/explore/68b1b6d5000000001c035d0b,45,星海渡口2025-08-29,小红书45人点赞
芽庄,景点打卡,🇻🇳芽庄 |  躺平的2天🏝️,https://www.xiaohongshu.com/explore/694b80aa000000001f00e721,100,一个靓仔2025-12-24,小红书100人点赞
芽庄,景点打卡,春节在越南🇻🇳,https://www.xiaohongshu.com/explore/679b78a5000000001902c815,237,好吃屁儿-2025-01-30,小红书237人点赞
大叻,住宿推荐,大叻DALAT｜不在法国！在越南！,https://www.xiaohongshu.com/explore/68f4e3910000000004023d0e,82,F鱼鱼2025-10-19,小红书82人点赞
大叻,住宿推荐,在越南大叻住到了最南法的酒店【又装到了！】,https://www.xiaohongshu.com/explore/68aed8ff000000001c034a51,169,西三平2025-08-27,小红书169人点赞
大叻,住宿推荐,🇻🇳 越南大叻dalat酒店推荐,https://www.xiaohongshu.com/explore/6943eb59000000001e011e73,48,是Lily不是LiLi2025-12-18,小红书48人点赞
大叻,住宿推荐,越南大叻 安娜曼达拉mandara全网最全攻略,https://www.xiaohongshu.com/explore/68c51815000000001b023d10,165,榴莲牛奶刘奶奶👵momo2025-09-14,小红书165人点赞
大叻,住宿推荐,不在法国！在越南！住进了法式复古Villa💐,https://www.xiaohongshu.com/explore/68f72259000000000703a3ca,330,一只小芒果2025-10-21,小红书330人点赞
大叻,住宿推荐,大叻的住宿分享（2）,https://www.xiaohongshu.com/explore/69056e5a0000000003021b7a,59,尹线儿2025-11-01,小红书59人点赞
大叻,住宿推荐,来大叻吧，像个local一样租辆摩托过三天,https://www.xiaohongshu.com/explore/67f2585d000000001c003010,1027,IAMYOUNG2025-04-06,小红书1027人点赞
大叻,住宿推荐,大叻·有一瞬间我分不清自己在南法还是云南,https://www.xiaohongshu.com/explore/69515ccc000000002200a642,762,Hevelyn2025-12-29,小红书762人点赞
大叻,住宿推荐,越南大叻｜一秒回到1930年的南法过夏天,https://www.xiaohongshu.com/explore/67988b5d0000000029033e11,2588,叶子乐（生活版）2025-03-11,小红书2588人点赞
大叻,住宿推荐,越南的好东西都藏起来了,https://www.xiaohongshu.com/explore/67babf20000000002803eee5,186,多多2025-02-23,小红书186人点赞
大叻,美食餐厅,大叻美食亲测不踩雷榜,https://www.xiaohongshu.com/explore/6950c9a4000000002203bc11,42,海始于斯2025-12-28,小红书42人点赞
大叻,美食餐厅,🇻🇳大叻必吃推荐！！！越南你真的太好吃了,https://www.xiaohongshu.com/explore/692985e5000000001f005ec1,99,豆豆奶饮料(见过Jennie版）2025-11-28,小红书99人点赞
大叻,美食餐厅,越南最值得去的旅行目的地｜大叻吃住行攻略,https://www.xiaohongshu.com/explore/689029440000000002003645,2199,背包玩世界的兔子2025-08-04,小红书2199人点赞
大叻,美食餐厅,越南大叻最忘不了的美食,https://www.xiaohongshu.com/explore/68e0fe7e00000000040214a2,169,哎哟十日卜大人2025-10-04,小红书169人点赞
大叻,美食餐厅,大叻 | 那些我去过的店🛖,https://www.xiaohongshu.com/explore/688c94b2000000000500639e,192,零度椰子2025-08-01,小红书192人点赞
大叻,美食餐厅,🛁大叻旅行攻略合集-好喜欢大叻,https://www.xiaohongshu.com/explore/69001c0c0000000007030efd,167,每天都很饿2025-10-28,小红书167人点赞
大叻,美食餐厅,什么，少奶奶又去东南亚流浪了？！,https://www.xiaohongshu.com/explore/6868f46f000000002400b46d,868,辣门毛仔2025-07-05,小红书868人点赞
大叻,美食餐厅,专为咖啡再来越南 这5家店咖啡控必收！,https://www.xiaohongshu.com/explore/688d8cb0000000002501cc67,170,JOSH哇呀2025-08-03,小红书170人点赞
大叻,美食餐厅,越南大叻美食攻略，亲测我心中的美食高地！,https://www.xiaohongshu.com/explore/6719145e000000001b02f3e8,380,左一呀2024-10-24,小红书380人点赞
大叻,美食餐厅,来大叻吧，像个local一样租辆摩托过三天,https://www.xiaohongshu.com/explore/67f2585d000000001c003010,1027,IAMYOUNG2025-04-06,小红书1027人点赞
大叻,景点打卡,大叻！整个越南最喜欢的城市,https://www.xiaohongshu.com/explore/69319fd8000000001e001787,1743,小徐日记2025-12-04,小红书1743人点赞
